file,sector_code,sector_name,size,mapping_confidence,source_json,rows,sv_mapping_warning,scale_guidance_hash
"EBX_Q_템플릿_IF_인프라_중견_consultant_safe_v2.xlsx","IF","인프라","중견","high","EBX_Q_템플릿_IF_인프라_중견.json","27","no","aa13af130535c8fc05c5d26f91ff942c2a8c033a8c5070ef5a84ecbe709b78cb"
"EBX_Q_템플릿_IF_인프라_중소_consultant_safe_v2.xlsx","IF","인프라","중소","high","EBX_Q_템플릿_IF_인프라_중소.json","27","no","7bc23dc5270125065226b159ccdc011ed8e65e489dfd2b197c03c0ab4fc911b4"
"EBX_Q_템플릿_RR_재생자원·대체에너지_대기업_consultant_safe_v2.xlsx","RR","재생자원·대체에너지","대기업","high","EBX_Q_템플릿_RR_재생자원·대체에너지_대기업.json","27","no","4310da8d5c272bfd8587768c4597f36b6ed585fbdc4d66c7b95943e019a2ea98"
"EBX_Q_템플릿_RR_재생자원·대체에너지_비상장_consultant_safe_v2.xlsx","RR","재생자원·대체에너지","비상장","high","EBX_Q_템플릿_RR_재생자원·대체에너지_비상장.json","27","no","0c4cabdc1c1014595e4a58c85e548cb0e1d79d326ad7a8d4a931a999364c5e81"
"EBX_Q_템플릿_RR_재생자원·대체에너지_중견_consultant_safe_v2.xlsx","RR","재생자원·대체에너지","중견","high","EBX_Q_템플릿_RR_재생자원·대체에너지_중견.json","27","no","aa13af130535c8fc05c5d26f91ff942c2a8c033a8c5070ef5a84ecbe709b78cb"
"EBX_Q_템플릿_RR_재생자원·대체에너지_중소_consultant_safe_v2.xlsx","RR","재생자원·대체에너지","중소","high","EBX_Q_템플릿_RR_재생자원·대체에너지_중소.json","27","no","7bc23dc5270125065226b159ccdc011ed8e65e489dfd2b197c03c0ab4fc911b4"
"EBX_Q_템플릿_RT_자원가공·제조_대기업_consultant_safe_v2.xlsx","RT","자원가공·제조","대기업","high","EBX_Q_템플릿_RT_자원가공·제조_대기업.json","27","no","4310da8d5c272bfd8587768c4597f36b6ed585fbdc4d66c7b95943e019a2ea98"
"EBX_Q_템플릿_RT_자원가공·제조_비상장_consultant_safe_v2.xlsx","RT","자원가공·제조","비상장","high","EBX_Q_템플릿_RT_자원가공·제조_비상장.json","27","no","0c4cabdc1c1014595e4a58c85e548cb0e1d79d326ad7a8d4a931a999364c5e81"
"EBX_Q_템플릿_RT_자원가공·제조_중견_consultant_safe_v2.xlsx","RT","자원가공·제조","중견","high","EBX_Q_템플릿_RT_자원가공·제조_중견.json","27","no","aa13af130535c8fc05c5d26f91ff942c2a8c033a8c5070ef5a84ecbe709b78cb"
"EBX_Q_템플릿_RT_자원가공·제조_중소_consultant_safe_v2.xlsx","RT","자원가공·제조","중소","high","EBX_Q_템플릿_RT_자원가공·제조_중소.json","27","no","7bc23dc5270125065226b159ccdc011ed8e65e489dfd2b197c03c0ab4fc911b4"
